base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,59,37.18774330619301,53.35837319170164,6,random_seed_159,95197,15895,1613.5084745762713,3
62,311,59,37.23986856516977,53.63713723994249,6,random_seed_160,95118,15800,1612.1694915254238,3
62,311,57,37.25702371369376,53.54323777106136,8,random_seed_161,95092,15832,1668.280701754386,3
62,311,57,37.18048535874055,53.48748496141319,8,random_seed_162,95208,15851,1670.3157894736842,3
62,311,59,37.25966296731285,53.6459403151501,7,random_seed_163,95088,15797,1611.6610169491526,4
62,311,54,37.17982554533578,53.552040846268966,11,random_seed_164,95209,15829,1763.1296296296296,3
62,311,57,37.291334010741764,53.72810235042108,7,random_seed_165,95040,15769,1667.3684210526317,2
62,311,56,37.266261101360534,53.62246544792981,9,random_seed_166,95078,15805,1697.8214285714287,3
62,311,57,37.3460985233376,53.901229496170664,8,random_seed_167,94957,15710,1665.9122807017543,3
62,311,58,37.36787236569498,53.868951553742775,8,random_seed_168,94924,15721,1636.6206896551723,4
62,311,54,37.23063117750301,53.4640100941929,11,random_seed_169,95132,15859,1761.7037037037037,3
62,311,57,37.13363860700194,53.31729217406615,8,random_seed_170,95279,15909,1671.561403508772,3
62,311,62,37.23261061771731,53.549106487866425,4,random_seed_171,95129,15830,1534.3387096774193,4
62,311,60,37.15871151638317,53.47868188620558,6,random_seed_172,95241,15854,1587.35,4
62,311,57,37.28341624988453,53.71929927521347,10,random_seed_173,95052,15772,1667.578947368421,5
62,311,54,37.317726546932526,53.73983978403122,10,random_seed_174,95000,15765,1759.2592592592594,2
62,311,54,37.17454703809763,53.475747527803044,10,random_seed_175,95217,15855,1763.2777777777778,2
62,311,56,37.23129099090777,53.56964699668417,8,random_seed_176,95131,15823,1698.767857142857,2
62,311,57,37.00959368690535,53.12362451949881,7,random_seed_177,95467,15975,1674.859649122807,2
62,311,58,37.167948904049936,53.49041931981572,7,random_seed_178,95227,15850,1641.844827586207,3
62,311,56,37.127700286359016,53.64300595674756,8,random_seed_179,95288,15798,1701.5714285714287,2
62,311,53,37.305190092241915,53.80146131048447,10,random_seed_180,95019,15744,1792.811320754717,1
62,311,56,37.267580728170074,53.63126852313742,8,random_seed_181,95076,15802,1697.7857142857142,2
62,311,55,37.340160202694676,53.6459403151501,11,random_seed_182,94966,15797,1726.6545454545455,4
62,311,53,37.33950038928991,53.63713723994249,11,random_seed_183,94967,15800,1791.8301886792453,2
62,311,59,37.23854893836023,53.40825728454474,5,random_seed_184,95120,15878,1612.2033898305085,2
62,311,54,37.25240501986038,53.50802547023093,9,random_seed_185,95099,15844,1761.0925925925926,1
62,311,61,37.28011718286069,53.769183368056574,5,random_seed_186,95057,15755,1558.311475409836,4
62,311,57,37.28803494371792,53.63420288153995,7,random_seed_187,95045,15801,1667.4561403508771,2
62,311,55,37.197640507264545,53.57258135508671,10,random_seed_188,95182,15822,1730.581818181818,3
62,311,53,37.31442747990868,53.77505208486164,11,random_seed_189,95005,15753,1792.5471698113208,2
62,311,59,37.10856569762071,53.103084010681066,7,random_seed_190,95317,15982,1615.542372881356,4
62,311,56,37.26296203433669,53.54323777106136,9,random_seed_191,95083,15832,1697.9107142857142,3
62,311,55,37.3098087860753,53.67821825757798,10,random_seed_192,95012,15786,1727.490909090909,3
62,311,53,37.34345926971853,53.85721412013263,12,random_seed_193,94961,15725,1791.7169811320755,3
62,311,60,37.30650971905145,53.61953108952727,7,random_seed_194,95017,15806,1583.6166666666666,5
62,311,60,37.21677509600285,53.56964699668417,7,random_seed_195,95153,15823,1585.8833333333334,5
62,311,54,37.371171432718825,53.892426420963055,10,random_seed_196,94919,15713,1757.7592592592594,2
62,311,60,37.138917114240094,53.361307550104165,6,random_seed_197,95271,15894,1587.85,4
62,311,54,37.2497657662413,53.598990580709525,12,random_seed_198,95103,15813,1761.1666666666667,4
62,311,59,37.19830032066931,53.51976290384107,6,random_seed_199,95181,15840,1613.2372881355932,3
62,311,57,37.11582364507318,53.4053229261422,8,random_seed_200,95306,15879,1672.0350877192982,3
62,311,61,37.27747792924161,53.82493617770474,3,random_seed_201,95061,15736,1558.377049180328,2
62,311,56,37.23459005793161,53.50802547023093,9,random_seed_202,95126,15844,1698.6785714285713,3
62,311,59,37.140236741049634,53.34370139968896,5,random_seed_203,95269,15900,1614.7288135593221,2
62,311,59,37.290014383932224,53.53736905425629,7,random_seed_204,95042,15834,1610.8813559322034,4
62,311,55,37.115163831668404,53.28501423163825,9,random_seed_205,95307,15920,1732.8545454545454,2
62,311,56,37.16464983702609,53.598990580709525,9,random_seed_206,95232,15813,1700.5714285714287,3
62,311,58,37.29529289117038,53.66941518237037,8,random_seed_207,95034,15789,1638.5172413793102,4
62,311,60,37.27681811583684,53.56671263828164,6,random_seed_208,95062,15824,1584.3666666666666,4
62,311,57,37.264941474550994,53.63420288153995,9,random_seed_209,95080,15801,1668.0701754385964,4
62,311,58,37.218754536217155,53.22926142199008,8,random_seed_210,95150,15939,1640.5172413793102,4
62,311,56,37.23656949814592,53.69289004959066,9,random_seed_211,95123,15781,1698.625,3
62,311,60,37.19961994747885,53.36717626690925,6,random_seed_212,95179,15892,1586.3166666666666,4
62,311,58,37.296612517979916,53.754511576043896,7,random_seed_213,95032,15760,1638.4827586206898,3
62,311,56,37.344119083123296,53.74570850083629,8,random_seed_214,94960,15763,1695.7142857142858,2
62,311,56,37.18840311959778,53.58431878869685,9,random_seed_215,95196,15818,1699.9285714285713,3
62,311,57,37.167948904049936,53.663546465565304,6,random_seed_216,95227,15791,1670.6491228070176,1
62,311,56,37.40284247614775,54.02153819067461,10,random_seed_217,94871,15669,1694.125,4
62,311,58,37.1771862917167,53.30262038205347,7,random_seed_218,95213,15914,1641.603448275862,3
62,311,61,37.3012312118133,53.654743390357694,6,random_seed_219,95025,15794,1557.7868852459017,5
62,311,58,37.22535267026485,53.469878810997976,7,random_seed_220,95140,15857,1640.344827586207,3
62,311,55,37.37051161931406,53.87482027054784,11,random_seed_221,94920,15719,1725.8181818181818,4
62,311,55,37.20555826812178,53.4053229261422,11,random_seed_222,95170,15879,1730.3636363636363,4
